lang,langType,territory,revGenDate,defs,dftLang,file
af,af,,,10,False,af.xml
af-NA,af,NA,,2,False,af_NA.xml
af-ZA,af,ZA,,0,False,af_ZA.xml
agq,agq,,,6,False,agq.xml
agq-CM,agq,CM,,0,False,agq_CM.xml
ak,ak,,,6,False,ak.xml
ak-GH,ak,GH,,0,False,ak_GH.xml
am,am,,,9,False,am.xml
am-ET,am,ET,,0,False,am_ET.xml
ar,ar,,,11,False,ar.xml
ar-001,ar,001,,0,False,ar_001.xml
ar-AE,ar,AE,,3,False,ar_AE.xml
ar-BH,ar,BH,,1,False,ar_BH.xml
ar-DJ,ar,DJ,,1,False,ar_DJ.xml
ar-DZ,ar,DZ,,3,False,ar_DZ.xml
ar-EG,ar,EG,,2,False,ar_EG.xml
ar-EH,ar,EH,,1,False,ar_EH.xml
ar-ER,ar,ER,,1,False,ar_ER.xml
ar-IL,ar,IL,,2,False,ar_IL.xml
ar-IQ,ar,IQ,,2,False,ar_IQ.xml
ar-JO,ar,JO,,2,False,ar_JO.xml
ar-KM,ar,KM,,2,False,ar_KM.xml
ar-KW,ar,KW,,1,False,ar_KW.xml
ar-LB,ar,LB,,3,False,ar_LB.xml
ar-LY,ar,LY,,4,False,ar_LY.xml
ar-MA,ar,MA,,3,False,ar_MA.xml
ar-MR,ar,MR,,3,False,ar_MR.xml
ar-OM,ar,OM,,1,False,ar_OM.xml
ar-PS,ar,PS,,2,False,ar_PS.xml
ar-QA,ar,QA,,1,False,ar_QA.xml
ar-SA,ar,SA,,5,False,ar_SA.xml
ar-SD,ar,SD,,1,False,ar_SD.xml
ar-SO,ar,SO,,2,False,ar_SO.xml
ar-SS,ar,SS,,1,False,ar_SS.xml
ar-SY,ar,SY,,2,False,ar_SY.xml
ar-TD,ar,TD,,1,False,ar_TD.xml
ar-TN,ar,TN,,3,False,ar_TN.xml
ar-YE,ar,YE,,1,False,ar_YE.xml
as,as,,,10,False,as.xml
as-IN,as,IN,,0,False,as_IN.xml
asa,asa,,,6,False,asa.xml
asa-TZ,asa,TZ,,0,False,asa_TZ.xml
ast,ast,,,9,False,ast.xml
ast-ES,ast,ES,,0,False,ast_ES.xml
az,az,,,10,False,az.xml
az-Cyrl,az,,,5,False,az_Cyrl.xml
az-Cyrl-AZ,az,AZ,,0,False,az_Cyrl_AZ.xml
az-Latn,az,,,0,False,az_Latn.xml
az-Latn-AZ,az,AZ,,0,False,az_Latn_AZ.xml
bas,bas,,,6,False,bas.xml
bas-CM,bas,CM,,0,False,bas_CM.xml
be,be,,,10,False,be.xml
be-BY,be,BY,,0,False,be_BY.xml
bem,bem,,,6,False,bem.xml
bem-ZM,bem,ZM,,0,False,bem_ZM.xml
bez,bez,,,6,False,bez.xml
bez-TZ,bez,TZ,,0,False,bez_TZ.xml
bg,bg,,,10,False,bg.xml
bg-BG,bg,BG,,0,False,bg_BG.xml
bm,bm,,,6,False,bm.xml
bm-ML,bm,ML,,0,False,bm_ML.xml
bn,bn,,,10,False,bn.xml
bn-BD,bn,BD,,0,False,bn_BD.xml
bn-IN,bn,IN,,1,False,bn_IN.xml
bo,bo,,,5,False,bo.xml
bo-CN,bo,CN,,0,False,bo_CN.xml
bo-IN,bo,IN,,2,False,bo_IN.xml
br,br,,,10,False,br.xml
br-FR,br,FR,,0,False,br_FR.xml
brx,brx,,,7,False,brx.xml
brx-IN,brx,IN,,0,False,brx_IN.xml
bs,bs,,,11,False,bs.xml
bs-Cyrl,bs,,,9,False,bs_Cyrl.xml
bs-Cyrl-BA,bs,BA,,0,False,bs_Cyrl_BA.xml
bs-Latn,bs,,,0,False,bs_Latn.xml
bs-Latn-BA,bs,BA,,0,False,bs_Latn_BA.xml
ca,ca,,,11,False,ca.xml
ca-AD,ca,AD,,0,False,ca_AD.xml
ca-ES,ca,ES,,0,False,ca_ES.xml
ca-ES-VALENCIA,ca,ES,,2,False,ca_ES_VALENCIA.xml
ca-FR,ca,FR,,1,False,ca_FR.xml
ca-IT,ca,IT,,0,False,ca_IT.xml
ccp,ccp,,,10,False,ccp.xml
ccp-BD,ccp,BD,,0,False,ccp_BD.xml
ccp-IN,ccp,IN,,0,False,ccp_IN.xml
ce,ce,,,6,False,ce.xml
ce-RU,ce,RU,,0,False,ce_RU.xml
ceb,ceb,,,9,False,ceb.xml
ceb-PH,ceb,PH,,0,False,ceb_PH.xml
cgg,cgg,,,6,False,cgg.xml
cgg-UG,cgg,UG,,0,False,cgg_UG.xml
chr,chr,,,10,False,chr.xml
chr-US,chr,US,,0,False,chr_US.xml
ckb,ckb,,,5,False,ckb.xml
ckb-IQ,ckb,IQ,,0,False,ckb_IQ.xml
ckb-IR,ckb,IR,,1,False,ckb_IR.xml
cs,cs,,,11,False,cs.xml
cs-CZ,cs,CZ,,0,False,cs_CZ.xml
cu,cu,,,9,False,cu.xml
cu-RU,cu,RU,,0,False,cu_RU.xml
cy,cy,,,10,False,cy.xml
cy-GB,cy,GB,,0,False,cy_GB.xml
da,da,,,11,False,da.xml
da-DK,da,DK,,0,False,da_DK.xml
da-GL,da,GL,,0,False,da_GL.xml
dav,dav,,,6,False,dav.xml
dav-KE,dav,KE,,0,False,dav_KE.xml
de,de,,,11,False,de.xml
de-AT,de,AT,,4,False,de_AT.xml
de-BE,de,BE,,0,False,de_BE.xml
de-CH,de,CH,,6,False,de_CH.xml
de-DE,de,DE,,0,False,de_DE.xml
de-IT,de,IT,,1,False,de_IT.xml
de-LI,de,LI,,3,False,de_LI.xml
de-LU,de,LU,,3,False,de_LU.xml
dje,dje,,,6,False,dje.xml
dje-NE,dje,NE,,0,False,dje_NE.xml
dsb,dsb,,,9,False,dsb.xml
dsb-DE,dsb,DE,,0,False,dsb_DE.xml
dua,dua,,,6,False,dua.xml
dua-CM,dua,CM,,0,False,dua_CM.xml
dyo,dyo,,,6,False,dyo.xml
dyo-SN,dyo,SN,,0,False,dyo_SN.xml
dz,dz,,,8,False,dz.xml
dz-BT,dz,BT,,0,False,dz_BT.xml
ebu,ebu,,,6,False,ebu.xml
ebu-KE,ebu,KE,,0,False,ebu_KE.xml
ee,ee,,,8,False,ee.xml
ee-GH,ee,GH,,0,False,ee_GH.xml
ee-TG,ee,TG,,1,False,ee_TG.xml
el,el,,,11,False,el.xml
el-CY,el,CY,,0,False,el_CY.xml
el-GR,el,GR,,0,False,el_GR.xml
en,en,,,11,False,en.xml
